model,period,long_pct,short_pct,net_pct,gross_pct,mean_abs_net_pct
fixed,development,90.28288950206182,46.21240459850853,44.0704849035533,136.49529410057036,44.0704849035533
ols,development,84.38568641098088,56.05254935890837,28.333137052072505,140.43823576988925,28.610019249114288
ridge,development,85.09058271059708,54.72587053905152,30.364712171545552,139.8164532496486,30.50404037090591
fixed,later,92.03944552878987,39.445372204732756,52.59407332405711,131.48481773352262,52.59407332405711
ols,later,89.1878660334379,44.47210863368832,44.71575739974957,133.6599746671262,44.71575739974957
ridge,later,90.21186402001983,43.33048011646199,46.88138390355783,133.5423441364818,46.88138390355783
